곡명,악보난이도,서열,개인차
Go Ahead!!,ANOTHER,S+,FALSE
Go Beyond!!,ANOTHER,S+,FALSE
ICARUS,LEGGENDARIA,S+,FALSE
KAISER PHOENIX,LEGGENDARIA,S+,FALSE
KAMAITACHI,LEGGENDARIA,S+,FALSE
Mare Nectaris,ANOTHER,S+,FALSE
Sigmund,LEGGENDARIA,S+,FALSE
Verflucht,LEGGENDARIA,S+,FALSE
3y3s,ANOTHER,S+,FALSE
卑弥呼,ANOTHER,S+,FALSE
Χ-DEN,ANOTHER,S+,FALSE
疾風迅雷,LEGGENDARIA,S+,FALSE
冥,ANOTHER,S+,FALSE
DIAVOLO,ANOTHER,S+,TRUE
Plan 8,ANOTHER,S+,TRUE
Thor's Hammer,ANOTHER,S+,TRUE
Timepiece phase II(CN Ver.),ANOTHER,S+,TRUE
灼熱Beach Side Bunny,ANOTHER,S+,TRUE
灼熱 Pt.2 Long Train Running,ANOTHER,S+,TRUE
Almagest,ANOTHER,S,FALSE
Carmina,ANOTHER,S,FALSE
Chrono Diver -PENDULUMs-,ANOTHER,S,FALSE
Confiserie,ANOTHER,S,FALSE
EBONY & IVORY,LEGGENDARIA,S,FALSE
Elemental Creation,ANOTHER,S,FALSE
EMERALDAS,ANOTHER,S,FALSE
Feel The Beat,LEGGENDARIA,S,FALSE
GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,S,FALSE
perditus†paradisus,ANOTHER,S,FALSE
Sigmund,ANOTHER,S,FALSE
VANESSA,LEGGENDARIA,S,FALSE
駅猫のワルツ,ANOTHER,S,FALSE
煉獄のエルフェリア,ANOTHER,S,FALSE
焔極OVERKILL,ANOTHER,S,FALSE
共鳴遊戯の華,ANOTHER,S,FALSE
嘆きの樹,ANOTHER,S,FALSE
IX,ANOTHER,S,FALSE
BLACK.by X-Cross Fade,ANOTHER,S,TRUE
DIAMOND CROSSING,ANOTHER,S,TRUE
Dynamite,ANOTHER,S,TRUE
ECHIDNA,ANOTHER,S,TRUE
Fascination MAXX,ANOTHER,S,TRUE
Level One,ANOTHER,S,TRUE
NZM,ANOTHER,S,TRUE
Red. by Jack Trance,ANOTHER,S,TRUE
The Chase,ANOTHER,S,TRUE
Y&Co. is dead or alive,ANOTHER,S,TRUE
Ancient Scapes,LEGGENDARIA,A+,FALSE
B4U(BEMANI FOR YOU MIX),LEGGENDARIA,A+,FALSE
Blue Spring Express,ANOTHER,A+,FALSE
CHRONO DIVER -NORNIR-,LEGGENDARIA,A+,FALSE
CONTRACT,LEGGENDARIA,A+,FALSE
DEATH†ZIGOQ〜怒りの高速爆走野郎〜,ANOTHER,A+,FALSE
GuNGNiR,ANOTHER,A+,FALSE
Initiation,ANOTHER,A+,FALSE
KAISER PHOENIX,ANOTHER,A+,FALSE
PARADISE LOST,ANOTHER,A+,FALSE
Quakes,ANOTHER,A+,FALSE
THE F∀UST,ANOTHER,A+,FALSE
Unbelief,ANOTHER,A+,FALSE
Verflucht,ANOTHER,A+,FALSE
voltississimo,ANOTHER,A+,FALSE
お菓子の王国,ANOTHER,A+,FALSE
シムルグの目醒め,ANOTHER,A+,FALSE
金野火織の金色提言,ANOTHER,A+,FALSE
千年ノ理,LEGGENDARIA,A+,FALSE
東京神話,ANOTHER,A+,FALSE
超青少年ノ為ノ超多幸ナ超古典的超舞曲,LEGGENDARIA,A+,FALSE
